Date,Time,Transaction,Item
31-10-2016,14:00:21,28,Hearty & Seasonal
31-10-2016,14:00:21,28,Coffee
31-10-2016,14:00:21,29,Coke
31-10-2016,14:01:30,29,Tea
31-10-2016,14:01:30,29,Muffin
31-10-2016,14:01:30,30,Sandwich
31-10-2016,14:04:16,31,Coffee
31-10-2016,14:04:16,32,Muffin
31-10-2016,14:05:07,32,Coffee
31-10-2016,14:05:07,33,Bread
31-10-2016,14:20:29,34,Coffee
31-10-2016,14:20:29,34,Muffin
31-10-2016,14:22:31,35,Bread
31-10-2016,14:22:31,35,Hot chocolate
31-10-2016,14:22:31,36,Cookies
31-10-2016,14:35:27,36,Mineral water
31-10-2016,14:35:27,37,Muffin
31-10-2016,14:42:34,37,Tea
31-10-2016,14:44:48,37,Muffin
31-10-2016,14:47:16,38,Coffee
31-10-2016,14:47:16,38,Juice
31-10-2016,14:47:36,39,Coffee
31-10-2016,14:47:36,40,Muffin
31-10-2016,14:48:49,40,Tea
31-10-2016,14:49:28,40,Coffee
31-10-2016,14:49:28,40,Muffin
31-10-2016,14:50:42,40,Sandwich
31-10-2016,14:50:42,41,Hearty & Seasonal
31-10-2016,14:50:42,42,Bread
31-10-2016,14:50:42,42,Mineral water
31-10-2016,14:56:25,43,Tea
31-10-2016,14:56:25,43,Coffee
31-10-2016,15:05:17,44,Mineral water
31-10-2016,15:16:49,44,Coffee
31-10-2016,15:20:16,45,Soup
31-10-2016,15:20:16,45,Tea
31-10-2016,17:06:47,45,Bread
31-10-2016,17:06:47,46,Coffee
31-10-2016,17:08:09,47,Bread
31-10-2016,17:08:09,47,Muffin
31-10-2016,17:40:21,47,Coffee
31-10-2016,17:49:42,47,Bread
31-10-2016,18:22:24,47,Cookies
31-10-2016,18:22:24,48,Coffee
01-11-2016,07:51:20,49,Coffee
01-11-2016,07:51:20,49,Pastry
01-11-2016,08:20:50,49,Coffee
01-11-2016,08:20:50,50,Pastry
01-11-2016,08:22:28,50,Jam
01-11-2016,08:22:28,51,Tea
01-11-2016,08:45:20,52,Tea
01-11-2016,08:45:20,54,Tea
01-11-2016,09:07:47,55,Pastry
01-11-2016,09:07:47,55,Pastry
01-11-2016,09:07:47,55,Ella's Kitchen Pouches
01-11-2016,09:09:26,55,Pastry
01-11-2016,09:26:03,56,Farm House
01-11-2016,09:26:03,56,NONE
01-11-2016,09:26:03,57,Tea
01-11-2016,09:29:25,58,Tea
01-11-2016,09:29:25,58,Victorian Sponge
01-11-2016,09:43:13,58,Tea
01-11-2016,09:43:13,58,Pastry
01-11-2016,10:02:27,59,Bread
01-11-2016,10:04:05,59,Coffee
01-11-2016,10:29:02,60,Bread
01-11-2016,10:29:02,60,Coffee
01-11-2016,10:34:53,60,Coffee
01-11-2016,10:34:53,60,Pastry
01-11-2016,10:34:53,61,Pastry
01-11-2016,10:50:50,62,Soup
01-11-2016,10:50:50,62,Tea
01-11-2016,10:56:08,62,NONE
01-11-2016,10:56:08,62,Bread
01-11-2016,11:00:48,62,Coffee
01-11-2016,11:04:36,62,Bread
01-11-2016,11:04:36,63,Bread
01-11-2016,11:06:09,64,Bread
01-11-2016,11:06:09,65,NONE
01-11-2016,11:06:09,65,Scandinavian
01-11-2016,11:08:18,65,Bread
01-11-2016,11:08:18,65,Cake
01-11-2016,11:08:18,65,Cookies
01-11-2016,11:10:11,66,Coffee
01-11-2016,11:10:11,66,Coffee
01-11-2016,11:10:11,66,Tea
01-11-2016,11:11:58,67,Coffee
01-11-2016,11:11:58,67,Cookies
01-11-2016,11:13:20,67,Coffee
01-11-2016,11:16:30,67,Bread
01-11-2016,11:22:36,68,NONE
01-11-2016,11:22:36,68,Coffee
01-11-2016,11:22:36,68,Pastry
01-11-2016,11:23:19,68,Coffee
01-11-2016,11:23:19,68,Coffee
01-11-2016,11:25:53,69,Coffee
01-11-2016,11:30:00,69,Scandinavian
01-11-2016,11:30:00,69,Bread
01-11-2016,11:49:31,70,Coffee
01-11-2016,11:49:31,71,Coffee
01-11-2016,11:49:31,72,Pastry
01-11-2016,11:54:17,72,Scandinavian
01-11-2016,11:54:17,73,Coffee
01-11-2016,11:54:17,74,Pastry
01-11-2016,12:03:37,74,Hearty & Seasonal
01-11-2016,12:03:37,75,Coffee
01-11-2016,12:03:37,75,Muffin
01-11-2016,12:10:09,75,Bread
01-11-2016,12:10:38,76,Coffee
01-11-2016,12:12:26,77,Scandinavian
01-11-2016,12:15:36,78,Soup
01-11-2016,12:15:36,79,Coffee
01-11-2016,12:20:30,79,Coffee
01-11-2016,12:20:30,79,Cookies
01-11-2016,12:20:30,79,Tartine
01-11-2016,12:22:04,80,Bread
01-11-2016,12:26:43,80,Bread
01-11-2016,12:26:43,80,Tea
01-11-2016,12:26:43,81,Tea
01-11-2016,12:30:30,81,Pastry
01-11-2016,12:30:30,82,Coffee
01-11-2016,12:31:30,82,Tartine
01-11-2016,12:31:30,82,Coffee
01-11-2016,12:33:31,83,Bread
01-11-2016,12:33:31,83,Cookies
01-11-2016,12:37:29,84,Sandwich
01-11-2016,12:41:16,85,Tartine
01-11-2016,12:49:16,85,Bread
01-11-2016,12:49:16,85,Pastry
01-11-2016,12:53:18,85,Bread
01-11-2016,12:53:18,86,Scandinavian
01-11-2016,13:08:46,87,Scandinavian
01-11-2016,13:11:34,88,Alfajores
01-11-2016,13:11:34,88,Coffee
01-11-2016,13:15:08,88,Coffee
01-11-2016,13:19:00,89,Coffee
01-11-2016,13:19:00,90,Coke
01-11-2016,13:19:00,90,Soup
01-11-2016,13:21:52,91,Cake
01-11-2016,13:31:35,91,Tea
01-11-2016,13:31:35,92,Sandwich
01-11-2016,13:31:35,93,Soup
01-11-2016,13:33:54,93,Coffee
01-11-2016,13:37:48,94,Hearty & Seasonal
01-11-2016,13:37:48,94,Bread
01-11-2016,13:41:53,95,Alfajores
01-11-2016,13:45:21,95,Cake
01-11-2016,14:10:03,95,Tea
01-11-2016,14:10:03,96,Tea
01-11-2016,14:10:03,96,Bread
01-11-2016,14:13:26,96,Coffee
01-11-2016,14:13:26,96,Tea
01-11-2016,14:13:26,97,Bread
01-11-2016,14:13:26,97,Soup
01-11-2016,14:14:01,97,Coffee
01-11-2016,14:14:01,98,Coffee
01-11-2016,14:18:52,99,Scandinavian
01-11-2016,14:22:07,99,Fudge
01-11-2016,14:25:14,99,Coffee
01-11-2016,14:25:14,99,Sandwich
01-11-2016,14:37:16,100,Tea
01-11-2016,14:37:16,101,Bread
01-11-2016,14:37:16,101,Cookies
01-11-2016,14:37:16,102,Pastry
01-11-2016,14:37:26,103,Muffin
01-11-2016,14:42:31,103,Scandinavian
01-11-2016,14:54:33,104,Jam
01-11-2016,14:54:33,104,Tea
01-11-2016,15:02:23,104,Juice
01-11-2016,15:02:23,104,Tea
01-11-2016,15:02:23,104,Alfajores
01-11-2016,15:18:43,105,Cake
01-11-2016,15:18:43,105,Muffin
01-11-2016,15:18:43,105,Coffee
01-11-2016,15:18:43,105,Soup
01-11-2016,15:33:18,106,Hot chocolate
01-11-2016,15:33:18,106,Cake
01-11-2016,15:33:18,106,Coffee
01-11-2016,15:37:30,106,Cake
01-11-2016,15:37:30,107,Cookies
01-11-2016,15:48:44,107,Tea
01-11-2016,15:48:44,108,Bread
01-11-2016,16:07:11,108,Alfajores
01-11-2016,16:07:11,109,Coffee
01-11-2016,16:07:11,109,Coffee
01-11-2016,16:07:11,109,Coffee
01-11-2016,16:07:11,110,Juice
01-11-2016,16:08:22,111,Coffee
01-11-2016,16:08:22,112,Tea
01-11-2016,16:08:22,113,Soup
01-11-2016,16:10:03,113,Hot chocolate
01-11-2016,16:10:42,114,Cookies
01-11-2016,16:26:55,115,Coffee
01-11-2016,16:26:55,116,Medialuna
01-11-2016,16:28:57,117,Bread
01-11-2016,16:28:57,117,Eggs
01-11-2016,17:46:13,117,Scandinavian
01-11-2016,18:43:55,117,Medialuna
02-11-2016,08:02:20,118,Coffee
02-11-2016,08:02:20,118,Coffee
02-11-2016,08:02:20,118,Pastry
02-11-2016,08:05:03,118,Coffee
02-11-2016,08:05:03,119,Bread
02-11-2016,08:07:05,119,Bread
02-11-2016,08:07:05,119,Coffee
02-11-2016,08:07:05,120,Pastry
02-11-2016,08:07:05,121,NONE
02-11-2016,08:08:45,121,Coffee
02-11-2016,08:08:45,122,Pastry
02-11-2016,08:11:35,123,Pastry
02-11-2016,08:12:03,123,Coffee
02-11-2016,08:12:51,123,Coffee
02-11-2016,08:29:04,123,Coffee
02-11-2016,08:29:04,123,Hot chocolate
02-11-2016,08:29:04,124,Pastry
02-11-2016,08:53:32,124,Coke
02-11-2016,09:02:24,125,Coffee
02-11-2016,09:02:24,126,Jam
02-11-2016,09:03:13,126,Tea
02-11-2016,09:05:25,127,NONE
02-11-2016,09:05:25,128,Bread
02-11-2016,09:05:25,128,Pastry
02-11-2016,09:18:53,128,Coffee
02-11-2016,09:18:53,128,Alfajores
02-11-2016,09:18:53,129,Farm House
02-11-2016,09:22:47,129,Tea
02-11-2016,09:22:47,129,Pastry
02-11-2016,09:25:31,130,Bread
02-11-2016,09:27:58,130,Coffee
02-11-2016,09:27:58,130,Jam
02-11-2016,09:33:47,131,Coffee
02-11-2016,09:33:47,131,Tea
02-11-2016,09:33:47,132,Coffee
02-11-2016,09:33:47,132,Pastry
02-11-2016,09:35:10,132,Farm House
02-11-2016,09:52:58,132,Coffee
02-11-2016,09:52:58,133,NONE
02-11-2016,09:52:58,133,Bread
02-11-2016,09:52:58,134,Pastry
02-11-2016,09:53:28,134,Farm House
02-11-2016,09:54:47,134,Coffee
02-11-2016,09:54:47,135,Coffee
02-11-2016,09:54:47,136,Pastry
02-11-2016,10:12:15,136,Farm House
02-11-2016,10:13:27,137,Coffee
02-11-2016,10:13:27,138,Pastry
02-11-2016,10:15:48,138,NONE
02-11-2016,10:15:48,138,Coffee
02-11-2016,10:17:22,139,Coffee
02-11-2016,10:17:22,139,Pastry
02-11-2016,10:29:56,139,Bread
02-11-2016,10:29:56,140,Bread
02-11-2016,10:37:45,140,Bread
02-11-2016,10:37:45,140,Coffee
02-11-2016,10:37:45,141,Pastry
02-11-2016,10:44:50,142,Pastry
02-11-2016,10:44:50,142,Coffee
02-11-2016,10:48:08,143,Coffee
02-11-2016,10:48:08,144,Farm House
02-11-2016,10:52:20,144,Farm House
02-11-2016,10:52:20,145,Farm House
02-11-2016,10:52:20,145,Pastry
02-11-2016,10:53:48,145,Bread
02-11-2016,10:53:48,146,Juice
02-11-2016,10:53:48,147,Alfajores
02-11-2016,10:56:40,147,Coffee
02-11-2016,10:56:40,148,Pastry
02-11-2016,10:59:16,148,Bread
02-11-2016,10:59:16,148,Alfajores
02-11-2016,11:00:57,149,Bread
02-11-2016,11:03:49,150,Coffee
02-11-2016,11:03:49,151,Cookies
02-11-2016,11:04:47,151,Coffee
02-11-2016,11:15:13,152,Cookies
02-11-2016,11:29:15,153,Hearty & Seasonal
02-11-2016,11:35:36,153,Coffee
02-11-2016,11:39:45,153,Jam
02-11-2016,11:39:45,153,Tartine
02-11-2016,11:39:45,154,Bread
02-11-2016,11:58:42,154,Farm House
02-11-2016,11:58:42,154,Scandinavian
02-11-2016,12:06:51,154,Hearty & Seasonal
02-11-2016,12:06:51,155,Coffee
02-11-2016,12:06:51,155,Muffin
02-11-2016,12:06:51,155,Scandinavian
02-11-2016,12:11:56,156,Tartine
02-11-2016,12:11:56,156,Pick and Mix Bowls
02-11-2016,12:11:56,157,NONE
02-11-2016,12:11:56,157,Coffee
02-11-2016,12:11:56,158,Coke
02-11-2016,12:14:15,158,Bread
02-11-2016,12:18:15,159,Scandinavian
02-11-2016,12:18:15,159,Farm House
02-11-2016,12:18:15,159,Alfajores
02-11-2016,12:18:15,160,Coffee
02-11-2016,12:18:15,160,Coffee
02-11-2016,12:24:06,161,Juice
02-11-2016,12:24:06,162,Mineral water
02-11-2016,12:24:06,163,Soup
02-11-2016,12:27:31,163,Soup
02-11-2016,12:27:31,164,Tea
02-11-2016,12:30:42,164,Juice
02-11-2016,12:30:42,165,Tea
02-11-2016,12:30:42,166,Cookies
02-11-2016,12:30:42,166,Soup
02-11-2016,12:33:51,167,Hearty & Seasonal
02-11-2016,12:33:51,167,Tea
02-11-2016,12:35:41,167,Fudge
02-11-2016,12:39:02,167,Coffee
02-11-2016,12:39:02,168,Mineral water
02-11-2016,12:39:02,168,Juice
02-11-2016,12:39:02,169,Soup
02-11-2016,12:52:44,170,Hearty & Seasonal
02-11-2016,12:54:49,171,Hearty & Seasonal
02-11-2016,12:54:49,171,Smoothies
02-11-2016,12:56:40,172,Hearty & Seasonal
02-11-2016,12:56:40,172,Tea
02-11-2016,13:02:57,173,Coffee
02-11-2016,13:02:57,173,Sandwich
02-11-2016,13:02:57,174,Sandwich
02-11-2016,13:09:40,175,Cookies
02-11-2016,13:09:40,176,Farm House
02-11-2016,13:11:57,176,Soup
02-11-2016,13:11:57,178,Tea
02-11-2016,13:11:57,178,Juice
02-11-2016,13:12:44,179,Soup
02-11-2016,13:16:48,179,Coffee
02-11-2016,13:23:56,180,Bread
02-11-2016,13:42:15,180,Cookies
02-11-2016,13:42:15,181,Tea
02-11-2016,13:46:42,181,Soup
02-11-2016,13:46:42,182,Hearty & Seasonal
02-11-2016,13:46:42,182,Bread
02-11-2016,13:50:59,182,Coffee
02-11-2016,13:58:39,183,Coffee
02-11-2016,14:00:37,184,Coffee
02-11-2016,14:00:37,184,Tea
02-11-2016,14:01:20,184,Bread
02-11-2016,14:05:20,185,Tea
02-11-2016,14:11:14,185,Coffee
02-11-2016,14:11:14,186,Tea
02-11-2016,14:11:50,186,Coffee
02-11-2016,14:34:44,187,Fudge
02-11-2016,15:03:25,188,Tea
02-11-2016,15:25:57,189,Soup
02-11-2016,15:25:57,189,Tea
02-11-2016,15:33:54,190,Juice
02-11-2016,15:46:22,190,Alfajores
02-11-2016,15:57:42,190,Bread
02-11-2016,16:25:49,191,Coffee
02-11-2016,16:25:49,191,Alfajores
02-11-2016,16:54:35,192,Juice
02-11-2016,16:54:35,192,Alfajores
02-11-2016,16:54:35,193,Cookies
02-11-2016,16:54:35,194,Pick and Mix Bowls
02-11-2016,16:54:35,194,Mineral water
02-11-2016,17:01:56,195,Coffee
02-11-2016,17:01:56,195,Alfajores
02-11-2016,17:41:01,195,Fudge
02-11-2016,18:08:40,196,Mighty Protein
02-11-2016,18:08:40,196,Juice
02-11-2016,18:13:04,196,Coffee
02-11-2016,18:13:04,197,Mineral water
02-11-2016,18:13:04,197,Alfajores
02-11-2016,18:19:43,197,Mighty Protein
02-11-2016,18:19:43,198,Coffee
02-11-2016,18:40:02,198,Alfajores
03-11-2016,07:46:50,199,Coffee
03-11-2016,07:46:50,200,Bread
03-11-2016,07:50:50,201,Medialuna
03-11-2016,07:50:50,201,Medialuna
03-11-2016,08:01:08,201,Medialuna
03-11-2016,08:01:08,202,Bread
03-11-2016,08:07:16,202,Farm House
03-11-2016,08:08:26,203,Coffee
03-11-2016,08:08:26,204,Pastry
03-11-2016,08:09:59,204,Farm House
03-11-2016,08:15:21,205,NONE
03-11-2016,08:15:21,205,Coffee
03-11-2016,08:15:21,205,Coffee
03-11-2016,08:15:21,206,Pastry
03-11-2016,08:15:21,206,Pastry
03-11-2016,08:15:21,206,Coffee
03-11-2016,08:40:43,207,Medialuna
03-11-2016,08:49:23,207,Bread
03-11-2016,08:49:23,207,NONE
03-11-2016,08:49:23,208,Tea
03-11-2016,08:49:23,209,Sandwich
03-11-2016,08:54:40,210,Bread
03-11-2016,09:00:24,211,Jam
03-11-2016,09:00:24,211,Coffee
03-11-2016,09:00:24,212,Farm House
03-11-2016,09:02:32,212,Focaccia
03-11-2016,09:06:17,212,Bread
03-11-2016,09:08:32,213,Tartine
03-11-2016,09:08:32,214,Pastry
03-11-2016,09:08:32,214,Bread
03-11-2016,09:08:32,214,My-5 Fruit Shoot
03-11-2016,09:13:37,215,Farm House
03-11-2016,09:13:37,215,Pastry
03-11-2016,09:19:54,216,Bread
03-11-2016,09:19:54,216,Pastry
03-11-2016,09:24:38,217,Pastry
03-11-2016,09:24:38,217,Bread
03-11-2016,09:31:19,218,Jam
03-11-2016,09:31:19,219,Coffee
03-11-2016,09:34:00,220,Farm House
03-11-2016,09:34:56,220,Bread
03-11-2016,09:34:56,221,Pastry
03-11-2016,09:44:36,221,Coffee
03-11-2016,09:44:36,222,Tea
03-11-2016,09:44:36,223,Bread
03-11-2016,09:45:20,223,Jam
03-11-2016,09:57:55,224,Pastry
03-11-2016,09:57:55,225,Medialuna
03-11-2016,09:57:55,225,Medialuna
03-11-2016,09:59:18,225,Coffee
03-11-2016,10:01:12,226,Tea
03-11-2016,10:04:37,227,Bread
03-11-2016,10:10:26,227,Bread
03-11-2016,10:10:26,227,Pastry
03-11-2016,10:13:05,228,Pastry
03-11-2016,10:26:03,229,Farm House
03-11-2016,10:27:05,229,Tea
03-11-2016,10:39:12,230,Coffee
03-11-2016,10:39:12,231,Brownie
03-11-2016,10:39:12,232,Alfajores
03-11-2016,10:39:12,232,Fudge
03-11-2016,10:48:46,232,Bread
03-11-2016,10:48:46,233,Fudge
03-11-2016,10:48:46,233,Cookies
03-11-2016,11:03:49,233,Coffee
03-11-2016,11:05:44,233,Bread
03-11-2016,11:15:14,234,Coffee
03-11-2016,11:15:14,234,Coffee
03-11-2016,11:15:14,235,Jam
03-11-2016,11:15:14,236,Pastry
03-11-2016,11:20:31,237,Soup
03-11-2016,11:20:31,237,Coffee
03-11-2016,11:23:16,238,Smoothies
03-11-2016,11:23:16,238,Soup
03-11-2016,11:23:16,238,Hearty & Seasonal
03-11-2016,11:23:16,238,Pastry
03-11-2016,11:31:01,239,Pastry
03-11-2016,11:31:01,240,Bread
03-11-2016,11:47:18,241,Pastry
03-11-2016,11:47:18,241,Medialuna
03-11-2016,11:51:52,242,NONE
03-11-2016,11:51:52,242,Tea
03-11-2016,11:51:52,242,Coffee
03-11-2016,11:53:09,243,Bread
03-11-2016,11:53:09,243,Cookies
03-11-2016,12:01:18,243,Coffee
03-11-2016,12:01:18,243,Coffee
03-11-2016,12:01:18,244,Bread
03-11-2016,12:01:18,244,Hearty & Seasonal
03-11-2016,12:01:18,244,Pick and Mix Bowls
03-11-2016,12:01:18,245,Sandwich
03-11-2016,12:01:18,245,Focaccia
03-11-2016,12:02:49,246,Coffee
03-11-2016,12:05:25,246,Coffee
03-11-2016,12:05:25,247,Sandwich
03-11-2016,12:05:25,247,Brownie
03-11-2016,12:07:24,247,Brownie
03-11-2016,12:07:24,247,Cookies
03-11-2016,12:12:03,247,Coffee
03-11-2016,12:16:15,248,Coffee
03-11-2016,12:16:15,248,NONE
03-11-2016,12:23:47,248,Sandwich
03-11-2016,12:23:47,249,NONE
03-11-2016,12:23:47,250,Bread
03-11-2016,12:23:47,251,Coffee
03-11-2016,12:37:58,251,Coffee
03-11-2016,12:37:58,252,Hot chocolate
03-11-2016,12:47:09,252,Tea
03-11-2016,12:47:09,253,NONE
03-11-2016,13:02:37,254,Sandwich
03-11-2016,13:02:37,255,Coffee
03-11-2016,13:02:37,255,Brownie
03-11-2016,13:19:57,255,Brownie
03-11-2016,13:19:57,256,Pastry
03-11-2016,13:19:57,256,Focaccia
03-11-2016,13:19:57,257,Farm House
03-11-2016,13:30:57,257,Cake
03-11-2016,13:30:57,257,Focaccia
03-11-2016,13:35:48,257,Soup
03-11-2016,13:35:48,258,Hearty & Seasonal
03-11-2016,13:35:48,258,Mineral water
03-11-2016,13:36:09,259,Hearty & Seasonal
03-11-2016,13:37:53,260,Hearty & Seasonal
03-11-2016,13:41:42,261,Coffee
03-11-2016,13:41:42,262,Coffee
03-11-2016,13:41:42,262,Pastry
03-11-2016,14:00:26,262,Coffee
03-11-2016,14:03:07,263,Tea
03-11-2016,14:03:07,264,Cake
03-11-2016,14:09:44,264,Coffee
03-11-2016,14:09:44,265,Soup
03-11-2016,14:14:56,266,Bread
03-11-2016,14:14:56,266,Focaccia
03-11-2016,14:14:56,266,Fudge
03-11-2016,14:16:50,267,Hot chocolate
03-11-2016,14:16:50,267,Coffee
03-11-2016,14:16:50,267,Alfajores
03-11-2016,14:26:27,268,Brownie
03-11-2016,14:26:27,268,Pastry
03-11-2016,14:26:27,269,Cake
03-11-2016,14:40:15,270,Medialuna
03-11-2016,14:40:15,270,Alfajores
03-11-2016,14:40:15,271,Dulce de Leche
03-11-2016,14:41:13,271,Dulce de Leche
03-11-2016,14:41:13,271,Alfajores
03-11-2016,14:48:35,271,Bread
03-11-2016,14:48:35,272,Cake
03-11-2016,14:51:45,274,Cake
03-11-2016,14:51:45,274,Coffee
03-11-2016,15:00:24,274,Bread
03-11-2016,15:01:52,274,Sandwich
03-11-2016,15:06:48,275,Bread
03-11-2016,15:06:48,276,Coffee
03-11-2016,15:06:48,276,Alfajores
03-11-2016,15:06:48,276,Medialuna
03-11-2016,15:19:41,277,Coffee
03-11-2016,15:23:33,278,Bread
03-11-2016,15:23:33,278,Alfajores
03-11-2016,15:27:03,279,Tea
03-11-2016,15:27:03,279,Coffee
03-11-2016,15:33:17,280,Bread
03-11-2016,15:33:40,280,Dulce de Leche
03-11-2016,15:40:11,281,Farm House
03-11-2016,15:41:18,281,Fudge
03-11-2016,15:42:41,282,Coffee
03-11-2016,15:55:46,282,Coffee
03-11-2016,15:55:46,282,Alfajores
03-11-2016,15:55:46,283,Juice
03-11-2016,15:55:46,283,Ella's Kitchen Pouches
03-11-2016,15:55:46,284,Brownie
03-11-2016,15:59:29,284,Alfajores
03-11-2016,16:06:19,285,Alfajores
03-11-2016,16:06:19,285,Brownie
03-11-2016,16:06:19,285,Cookies
03-11-2016,16:06:19,286,Bread
03-11-2016,16:06:19,286,Juice
03-11-2016,16:10:01,286,Cake
03-11-2016,16:10:01,287,Cookies
03-11-2016,16:17:24,287,Pick and Mix Bowls
03-11-2016,16:28:32,288,Coffee
03-11-2016,16:42:40,288,Farm House
03-11-2016,17:15:20,289,Tea
03-11-2016,17:25:09,290,Coffee
03-11-2016,17:29:00,290,Focaccia
03-11-2016,17:29:00,291,Farm House
03-11-2016,17:32:25,292,Dulce de Leche
03-11-2016,17:40:05,293,Juice
03-11-2016,17:40:05,294,My-5 Fruit Shoot
03-11-2016,17:40:05,295,Ella's Kitchen Pouches
03-11-2016,17:40:05,295,Cookies
03-11-2016,17:45:07,295,Bread
03-11-2016,18:07:31,296,Hot chocolate
03-11-2016,18:08:19,296,Coffee
03-11-2016,18:51:13,297,Coffee
03-11-2016,19:00:19,297,Coffee
04-11-2016,07:32:33,297,Medialuna
04-11-2016,08:34:28,297,Bread
04-11-2016,08:34:28,298,Tea
04-11-2016,08:34:28,298,Jam
04-11-2016,08:36:49,298,Farm House
04-11-2016,08:40:07,298,Bread
04-11-2016,08:45:42,298,Coffee
04-11-2016,08:45:42,299,NONE
04-11-2016,08:53:11,300,Medialuna
04-11-2016,08:53:11,300,Coffee
04-11-2016,09:02:15,300,Bread
04-11-2016,09:05:15,300,Medialuna
04-11-2016,09:05:15,300,Pastry
04-11-2016,09:05:15,301,Medialuna
04-11-2016,09:07:34,301,Coffee
04-11-2016,09:07:34,301,Coffee
04-11-2016,09:07:34,302,Jam
04-11-2016,09:08:17,302,Bread
04-11-2016,09:08:17,303,Coffee
04-11-2016,09:09:54,303,Coffee
04-11-2016,09:09:54,303,Coffee
04-11-2016,09:11:33,303,Bread
04-11-2016,09:13:17,304,Hot chocolate
04-11-2016,09:14:38,304,Bread
04-11-2016,09:14:38,305,Medialuna
04-11-2016,09:22:21,306,Bread
04-11-2016,09:22:21,306,Jam
04-11-2016,09:23:35,306,Jam
04-11-2016,09:23:35,306,Bread
04-11-2016,09:24:29,307,Coffee
04-11-2016,09:24:29,308,Bread
04-11-2016,09:29:16,308,Bread
04-11-2016,09:29:16,309,Farm House
04-11-2016,09:30:11,309,Bread
04-11-2016,09:30:11,310,Coffee
04-11-2016,09:30:11,310,Coffee
04-11-2016,09:38:45,310,Tea
04-11-2016,09:38:45,311,Pastry
04-11-2016,09:40:56,311,Coffee
04-11-2016,09:40:56,312,Coffee
04-11-2016,09:52:19,312,Bread
04-11-2016,09:55:18,312,Pastry
04-11-2016,09:55:18,313,Brownie
04-11-2016,10:01:40,314,Farm House
04-11-2016,10:01:57,316,Coffee
04-11-2016,10:10:37,317,Tea
04-11-2016,10:10:37,317,Coffee
04-11-2016,10:10:37,318,Honey
04-11-2016,10:10:37,318,Cookies
04-11-2016,10:14:10,318,Tea
04-11-2016,10:24:15,319,Bread
04-11-2016,10:25:24,320,Brownie
04-11-2016,10:35:23,321,Bread
04-11-2016,10:35:23,321,Coffee
04-11-2016,10:36:59,322,Bread
04-11-2016,10:41:46,323,Coffee
04-11-2016,10:48:39,324,Tea
04-11-2016,10:48:39,324,Tea
04-11-2016,10:51:01,325,Tea
04-11-2016,10:54:43,326,Coffee
04-11-2016,10:54:43,327,Coffee
04-11-2016,11:00:57,328,Bread
04-11-2016,11:00:57,328,Coffee
04-11-2016,11:06:54,329,Bread
04-11-2016,11:06:54,330,Bread
04-11-2016,11:10:13,331,Bread
04-11-2016,11:10:13,332,The BART
04-11-2016,11:12:22,332,Coffee
04-11-2016,11:12:22,333,NONE
